UtilityKey,Company,UltimatePa,TotalRetai,TotalRet01,TotalRet02,AvgRevPerU,AvgUltCust,AvgResiden,AvgCommeri,AvgIndustr,UtilitySta,layer,path
4061115,Livingston City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061807,Newton City of TX,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060900,Kirbyville Light & Power Co,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060763,Jasper City of TX,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060477,Hemphill City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4062765,San Augustine City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059235,Timpson City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061680,Natchitoches City of,,30265,8525,277815,3550.15,10.89,11.48,12.09,8.57,LA,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058705,"City of Bentonville, Arkansas",,69308,27118,697161,2555.79,9.94,11.41,8.95,0,AR,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059329,Collinsville City of,,0,0,0,0,0,0,0,0,OK,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060288,Grand River Dam Authority,,228819,78,3641140,2933576.92,6.28,0,10.07,6.28,OK,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4062959,Skiatook Town of,,0,0,0,0,0,0,0,0,OK,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4063136,Springer Town of,,0,0,0,0,0,0,0,0,NM,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058894,Brownfield City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061184,"City of Lubbock, Texas",,312644,109815,2597945,2847.01,12.03,13.84,10.92,8.72,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060056,Floydada City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4063517,"City of Tulia, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059806,Eldorado City of OK,,0,0,0,0,0,0,0,0,OK,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061256,Mangum City of,,0,0,0,0,0,0,0,0,OK,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4062536,Raton Public Service Company,,0,0,0,0,0,0,0,0,NM,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4063499,Trinidad City of,,0,0,0,0,0,0,0,0,CO,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060949,La Junta City of,,0,0,0,0,0,0,0,0,CO,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061019,Las Animas City of,,0,0,0,0,0,0,0,0,CO,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059342,Colorado Springs Utilities,,570513,246379,4729189,2315.59,12.06,15.1,11.99,9.74,CO,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060092,"City of Fountain, Colorado",,28054,17800,233533,1576.07,12.01,12.51,11.03,0,CO,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060121,Frederick Town of,,271,2416,1597,112.17,16.97,21.02,4.17,14.04,CO,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060595,"City of Hugoton, Kansas",,0,0,0,0,0,0,0,0,KS,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
